,shichva
1087,9
1088,10
1089,10
1090,37
1091,9
1092,3
1093,4
1094,12
1095,23
1096,30
1097,9
1098,32
1099,10
1100,23
1101,10
1102,12
1103,13
1104,8
1105,19
1106,3
1107,9
1108,24
1109,13
1110,38
1111,24
1112,3
1113,28
1114,10
1115,21
1116,19
1117,10
1118,10
1119,4
1120,19
1121,13
1122,21
1123,37
1124,17
1125,13
1126,14
1127,36
1128,6
1129,24
1130,41
1131,9
1132,6
1133,32
1134,16
1135,10
1136,26
1137,17
1138,14
1139,9
1140,13
1141,12
1142,43
1143,4
1144,32
1145,10
1146,37
1147,1
1148,10
1149,48
1150,7
1151,21
1152,8
1153,8
1154,3
1155,38
1156,24
1157,21
1158,10
1159,19
1160,29
1161,4
1162,14
1163,4
1164,28
1165,8
1166,19
1167,9
1168,4
1169,16
1170,55
1171,8
1172,12
1173,4
1174,9
1175,1
1176,5
1177,36
1178,13
1179,14
1180,13
1181,51
1182,31
1183,7
1184,3
1185,12
1186,9
1187,10
1188,26
1189,10
1190,18
1191,14
1192,14
1193,19
1194,9
1195,9
1196,13
1197,13
1198,40
1199,11
1200,30
1201,4
1202,9
1203,9
1204,9
1205,13
1206,1
1207,37
1208,8
1209,20
1210,38
1211,40
1212,13
1213,37
1214,24
1215,1
1216,10
1217,19
1218,34
1219,38
1220,9
1221,11
1222,33
1223,32
1224,4
1225,10
1226,18
1227,8
1228,24
1229,18
1230,1
1231,17
1232,8
1233,38
1234,9
1235,23
1236,10
1237,1
1238,13
1239,11
1240,11
1241,3
1242,16
1243,11
1244,11
1245,30
1246,10
1247,26
1248,6
1249,24
1250,9
1251,37
1252,12
1253,3
1254,26
1255,5
1256,33
1257,12
1258,27
1259,20
1260,36
1261,9
1262,53
1263,38
1264,6
1265,37
1266,1
1267,11
1268,33
1269,12
1270,7
1271,24
1272,3
1273,55
1274,5
1275,24
1276,27
1277,39
1278,26
1279,23
1280,41
1281,1
1282,39
1283,25
1284,9
1285,1
1286,4
1287,10
1288,30
1289,9
1290,9
1291,10
1292,4
1293,1
1294,9
1295,9
1296,9
1297,8
1298,4
1299,3
1300,29
1301,8
1302,9
1303,9
1304,51
1305,3
1306,10
1307,6
1308,3
1309,25
1310,37
1311,11
1312,36
1313,25
1314,9
1315,6
1316,9
1317,10
1318,4
1319,14
1320,9
1321,30
1322,9
1323,47
1324,3
1325,23
1326,33
1327,1
1328,5
1329,3
1330,42
1331,4
1332,4
1333,11
1334,37
1335,37
1336,9
1337,26
1338,30
1339,12
1340,10
1341,9
1342,13
1343,35
1344,38
1345,9
1346,10
1347,9
1348,8
1349,6
1350,9
1351,11
1352,17
1353,37
1354,17
1355,47
1356,13
1357,10
1358,37
1359,9
1360,8
1361,32
1362,12
1363,12
1364,13
1365,9
1366,3
1367,13
1368,30
1369,14
1370,36
1371,4
1372,40
1373,10
1374,36
1375,3
1376,4
1377,5
1378,29
1379,41
1380,1
1381,9
1382,7
1383,31
1384,32
1385,3
1386,11
1387,9
1388,23
1389,3
1390,12
1391,15
1392,31
1393,9
1394,7
1395,3
1396,32
1397,8
1398,47
1399,13
1400,41
1401,10
1402,3
1403,14
1404,3
1405,3
1406,9
1407,4
1408,15
1409,3
1410,41
1411,9
1412,9
1413,38
1414,9
1415,6
1416,6
1417,21
1418,16
1419,37
1420,8
1421,6
1422,10
1423,9
1424,9
1425,45
1426,11
1427,9
1428,19
1429,8
1430,14
1431,6
1432,40
1433,15
1434,9
1435,20
1436,45
1437,12
1438,10
1439,38
1440,28
1441,12
1442,23
1443,7
1444,9
1445,40
1446,30
1447,43
1448,10
1449,31
1450,4
1451,25
1452,9
1453,8
1454,6
1455,6
1456,3
1457,41
1458,43
1459,26
1460,38
1461,1
1462,20
1463,3
1464,9
1465,19
1466,9
1467,44
1468,16
1469,17
1470,30
1471,9
1472,28
1473,9
1474,31
1475,27
1476,3
1477,16
1478,10
1479,5
1480,8
1481,7
1482,9
1483,9
1484,56
1485,11
1486,50
1487,11
1488,4
1489,31
1490,1
1491,4
1492,33
1493,53
1494,9
1495,20
1496,17
1497,9
1498,4
1499,3
1500,52
1501,8
1502,4
1503,9
1504,9
1505,9
1506,6
1507,6
1508,8
1509,12
1510,1
1511,1
1512,33
1513,21
1514,11
1515,9
1516,27
1517,9
1518,5
1519,4
1520,31
1521,9
1522,1
1523,29
1524,14
1525,6
1526,26
1527,18
1528,11
1529,30
1530,42
1531,11
1532,12
1533,31
1534,3
1535,4
1536,13
1537,7
1538,6
1539,6
1540,11
1541,8
1542,3
1543,9
1544,9
1545,8
1546,31
1547,28
1548,9
1549,36
1550,6
1551,5
1552,11
1553,1
1554,3
1555,6
1556,13
1557,9
1558,18
1559,30
1560,9
1561,37
1562,5
1563,11
1564,38
1565,37
1566,29
1567,46
1568,32
1569,9
1570,1
1571,27
1572,9
1573,10
1574,8
1575,30
1576,14
1577,9
1578,4
1579,44
1580,14
1581,8
1582,14
1583,5
1584,3
1585,34
1586,54
1587,30
1588,11
1589,27
1590,4
1591,32
1592,32
1593,3
1594,52
1595,48
1596,10
1597,6
1598,10
1599,1
1600,20
1601,4
1602,27
1603,6
1604,13
1605,5
1606,9
1607,34
1608,9
1609,8
1610,37
1611,39
1612,1
1613,7
1614,1
1615,11
1616,12
1617,3
1618,12
1619,11
1620,9
1621,28
1622,9
1623,3
1624,1
1625,4
1626,16
1627,29
1628,7
1629,14
1630,13
1631,9
1632,3
1633,9
1634,6
1635,18
1636,17
1637,8
1638,3
1639,13
1640,30
1641,37
1642,3
1643,9
1644,17
1645,4
1646,5
1647,9
1648,9
1649,8
1650,1
1651,8
1652,12
1653,9
1654,11
1655,32
1656,13
1657,31
1658,5
1659,5
1660,28
1661,7
1662,14
1663,36
1664,1
1665,11
1666,22
1667,5
1668,24
1669,20
1670,32
1671,4
1672,5
1673,12
1674,6
1675,9
1676,18
1677,4
1678,38
1679,8
1680,38
1681,24
1682,8
1683,12
1684,12
1685,29
1686,4
1687,9
1688,8
1689,9
1690,11
1691,30
1692,11
1693,16
1694,16
1695,11
1696,9
1697,9
1698,24
1699,13
1700,1
1701,12
1702,54
1703,5
1704,9
1705,4
1706,19
1707,9
1708,3
1709,30
1710,5
1711,28
1712,29
1713,13
1714,23
1715,11
1716,37
1717,30
1718,5
1719,11
1720,9
1721,39
1722,14
1723,1
1724,29
1725,18
1726,5
1727,10
1728,9
1729,14
1730,18
1731,29
1732,9
1733,3
1734,9
1735,40
1736,13
1737,26
1738,23
1739,30
1740,37
1741,8
1742,1
1743,9
1744,12
1745,6
1746,10
1747,4
1748,4
1749,10
1750,12
1751,3
1752,36
1753,37
1754,28
1755,3
1756,1
1757,14
1758,1
1759,37
1760,3
1761,3
1762,9
1763,4
1764,1
1765,38
1766,12
1767,34
1768,5
1769,11
1770,4
1771,21
1772,29
1773,13
1774,1
1775,9
1776,9
1777,12
1778,45
1779,18
1780,19
1781,38
1782,22
1783,11
1784,9
1785,6
1786,5
1787,10
1788,12
1789,13
1790,25
1791,36
1792,6
1793,13
1794,8
1795,8
1796,1
1797,33
1798,7
1799,12
1800,1
1801,12
1802,10
1803,51
1804,1
1805,36
1806,5
1807,30
1808,26
1809,5
1810,8
1811,9
1812,9
1813,13
1814,32
1815,5
1816,1
1817,4
1818,11
1819,13
1820,4
1821,32
1822,33
1823,3
1824,27
1825,12
1826,8
1827,7
1828,32
1829,51
1830,38
1831,12
1832,24
1833,1
1834,10
1835,4
1836,31
1837,7
1838,6
1839,12
1840,44
1841,40
1842,36
1843,11
1844,13
1845,11
1846,23
1847,6
1848,3
1849,13
1850,24
1851,7
1852,4
1853,24
1854,7
1855,1
1856,11
1857,3
1858,5
1859,33
1860,20
1861,13
1862,7
1863,4
1864,9
1865,9
1866,12
1867,10
1868,21
1869,4
1870,11
1871,30
1872,30
1873,9
1874,9
1875,3
1876,7
1877,12
1878,27
1879,20
1880,12
1881,5
1882,46
1883,3
1884,30
1885,8
1886,11
1887,3
1888,7
1889,3
1890,6
1891,16
1892,8
1893,13
1894,25
1895,17
1896,16
1897,4
1898,25
1899,41
1900,3
1901,14
1902,9
1903,11
1904,12
1905,3
1906,11
1907,13
1908,13
1909,36
1910,37
1911,39
1912,40
1913,9
1914,44
1915,45
1916,1
1917,9
1918,39
1919,10
1920,37
1921,12
1922,1
1923,6
1924,5
1925,9
1926,4
1927,8
1928,9
1929,52
1930,4
1931,8
1932,38
1933,27
1934,12
1935,12
1936,9
1937,32
1938,51
1939,13
1940,14
1941,27
1942,30
1943,9
1944,23
1945,3
1946,12
1947,4
1948,9
1949,21
1950,11
1951,13
1952,18
1953,27
1954,31
1955,13
1956,25
1957,4
1958,25
1959,37
1960,5
1961,9
1962,9
1963,20
1964,17
1965,1
1966,54
1967,5
1968,11
1969,11
1970,27
1971,23
1972,5
1973,1
1974,23
1975,6
1976,25
1977,11
1978,19
1979,9
1980,4
1981,17
1982,37
1983,7
1984,25
1985,7
1986,27
1987,27
1988,5
1989,3
1990,10
1991,29
1992,3
1993,14
1994,13
1995,5
1996,35
1997,4
1998,5
1999,48
2000,33
2001,7
2002,6
2003,9
2004,4
2005,36
2006,24
2007,14
2008,22
2009,47
2010,4
2011,4
2012,9
2013,10
2014,6
2015,11
2016,20
2017,5
2018,25
2019,32
2020,13
2021,16
2022,30
2023,16
2024,9
2025,9
2026,9
2027,9
2028,6
2029,9
2030,13
2031,17
2032,4
2033,3
2034,8
2035,29
2036,43
2037,31
2038,9
2039,11
2040,3
2041,36
2042,6
2043,9
2044,9
2045,3
2046,5
2047,11
2048,1
2049,10
2050,31
2051,1
2052,30
2053,10
2054,43
2055,10
2056,12
2057,26
2058,9
2059,12
2060,13
2061,10
2062,38
2063,17
2064,41
2065,12
2066,6
2067,26
2068,9
2069,20
2070,12
2071,17
2072,10
2073,11
2074,12
2075,37
2076,14
2077,30
2078,13
2079,10
2080,30
2081,9
2082,9
2083,30
2084,5
2085,19
2086,13
2087,13
2088,46
2089,3
2090,7
2091,30
2092,4
2093,9
2094,44
2095,6
2096,7
2097,9
2098,30
2099,3
2100,16
2101,26
2102,9
2103,9
2104,9
2105,33
2106,6
2107,26
2108,5
2109,6
2110,10
2111,9
2112,13
2113,5
2114,13
2115,20
2116,40
2117,9
2118,9
2119,9
2120,9
2121,3
2122,43
2123,24
2124,21
2125,19
2126,37
2127,38
2128,41
2129,17
2130,56
2131,1
2132,12
2133,32
2134,5
2135,3
2136,21
2137,8
2138,11
2139,38
2140,9
2141,24
2142,1
2143,6
2144,38
2145,52
2146,45
2147,25
2148,39
2149,8
2150,9
2151,10
2152,5
2153,17
2154,24
2155,13
2156,4
2157,32
2158,27
2159,3
2160,31
2161,3
2162,13
2163,40
2164,9
2165,1
2166,6
2167,55
2168,1
2169,32
2170,8
2171,6
2172,13
2173,8
2174,16
2175,4
2176,3
2177,10
2178,14
2179,12
2180,12
2181,31
2182,13
2183,16
2184,1
2185,9
2186,39
2187,4
2188,43
2189,36
2190,9
2191,37
2192,12
2193,5
2194,30
2195,3
2196,4
2197,12
2198,7
2199,14
2200,13
2201,10
2202,11
2203,50
2204,5
2205,41
2206,4
2207,5
2208,23
2209,27
2210,1
2211,12
2212,13
2213,6
2214,12
2215,42
2216,30
2217,16
2218,9
2219,29
2220,18
2221,29
2222,19
2223,10
2224,10
2225,12
2226,3
2227,10
2228,26
2229,13
2230,6
2231,46
2232,10
2233,3
2234,17
2235,20
2236,10
2237,14
2238,23
2239,9
2240,6
2241,16
2242,27
2243,12
2244,32
2245,16
2246,18
2247,10
2248,5
2249,9
2250,25
2251,9
2252,14
2253,9
2254,3
2255,3
2256,13
2257,9
2258,14
2259,9
2260,14
2261,11
2262,53
2263,5
2264,13
2265,10
2266,24
2267,3
2268,29
2269,30
2270,39
2271,12
2272,22
2273,9
2274,1
2275,14
2276,3
2277,21
2278,30
2279,24
2280,30
2281,33
2282,50
2283,4
2284,5
2285,36
2286,9
2287,12
2288,11
2289,1
2290,6
2291,6
2292,11
2293,9
2294,8
2295,26
2296,9
2297,17
2298,55
2299,4
2300,25
2301,9
2302,12
2303,9
2304,4
2305,37
2306,17
2307,42
2308,24
2309,39
2310,11
2311,10
